PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1629610,2023-24,00,1610612752,NYK,26.0,17,0.0,46.0,6,17,0.353,2.0,10.0,0.2,0,2,0.0,0.0,5.0,5.0,5,0.0,1.0,3.0,2,14,DaQuan Jeffries
76182,1961-62,00,1610612752,NYK,22.0,36,,363.0,54,142,0.38,,,,9,17,0.529,,,36.0,45,,,,34,117,George Blaney
1744,2005-06,00,1610612752,NYK,30.0,45,9.0,406.0,56,121,0.463,0.0,0.0,0.0,25,40,0.625,39.0,52.0,91.0,12,3.0,23.0,51.0,104,137,Jerome James
1744,2006-07,00,1610612752,NYK,31.0,41,11.0,273.0,33,79,0.418,0.0,0.0,0.0,10,18,0.556,21.0,45.0,66.0,3,6.0,15.0,23.0,73,76,Jerome James
1744,2007-08,00,1610612752,NYK,32.0,2,0.0,5.0,1,1,1.0,0.0,0.0,0.0,2,2,1.0,0.0,3.0,3.0,0,0.0,0.0,0.0,0,4,Jerome James
1744,2008-09,00,1610612752,NYK,33.0,2,0.0,10.0,3,8,0.375,0.0,0.0,0.0,0,0,0.0,1.0,2.0,3.0,0,1.0,1.0,1.0,2,6,Jerome James
76773,1948-49,00,1610612752,NYK,22.0,52,,,157,479,0.328,,,,120,169,0.71,,,,63,,,,127,434,Harry Gallatin
76773,1949-50,00,1610612752,NYK,23.0,68,,,263,664,0.396,,,,277,366,0.757,,,,56,,,,215,803,Harry Gallatin
76773,1950-51,00,1610612752,NYK,24.0,66,,,293,705,0.416,,,,259,354,0.732,,,800.0,180,,,,244,845,Harry Gallatin
76773,1951-52,00,1610612752,NYK,25.0,66,,1931.0,233,527,0.442,,,,275,341,0.806,,,661.0,115,,,,223,741,Harry Gallatin
76773,1952-53,00,1610612752,NYK,26.0,70,,2333.0,282,635,0.444,,,,301,430,0.7,,,916.0,126,,,,224,865,Harry Gallatin
76773,1953-54,00,1610612752,NYK,27.0,72,,2690.0,258,639,0.404,,,,433,552,0.784,,,1098.0,153,,,,208,949,Harry Gallatin
76773,1954-55,00,1610612752,NYK,28.0,72,,2548.0,330,859,0.384,,,,393,483,0.814,,,995.0,176,,,,206,1053,Harry Gallatin
76773,1955-56,00,1610612752,NYK,29.0,72,,2378.0,322,834,0.386,,,,358,455,0.787,,,740.0,168,,,,220,1002,Harry Gallatin
76773,1956-57,00,1610612752,NYK,30.0,72,,1943.0,332,817,0.406,,,,415,519,0.8,,,725.0,85,,,,202,1079,Harry Gallatin
76403,1965-66,00,1610612752,NYK,23.0,70,,877.0,161,391,0.412,,,,54,78,0.692,,,183.0,67,,,,113,376,John Clemens
76162,1972-73,00,1610612752,NYK,23.0,55,,475.0,78,205,0.38,,,,73,86,0.849,,,82.0,64,,,,67,229,Henry Bibby
76162,1973-74,00,1610612752,NYK,24.0,66,,986.0,210,465,0.452,,,,73,88,0.83,48.0,85.0,133.0,91,65.0,2.0,,123,493,Henry Bibby
76162,1974-75,00,1610612752,NYK,25.0,47,,876.0,179,400,0.448,,,,69,96,0.719,29.0,58.0,87.0,105,29.0,3.0,,96,427,Henry Bibby
1564,1999-00,00,1610612752,NYK,27.0,2,0.0,5.0,0,0,0.0,0.0,0.0,0.0,3,4,0.75,1.0,0.0,1.0,0,0.0,0.0,2.0,1,3,Etdrick Bohannon
77116,1948-49,00,1610612752,NYK,24.0,11,,,18,48,0.375,,,,6,12,0.5,,,,5,,,,20,42,Gene James
77116,1949-50,00,1610612752,NYK,25.0,29,,,19,64,0.297,,,,14,31,0.452,,,,20,,,,53,52,Gene James
76770,1993-94,00,1610612752,NYK,29.0,18,0.0,78.0,9,20,0.45,2.0,5.0,0.4,13,15,0.867,3.0,10.0,13.0,30,2.0,0.0,5.0,12,33,Corey Gaines
76402,1977-78,00,1610612752,NYK,28.0,79,,2009.0,215,448,0.48,,,,81,103,0.786,69.0,143.0,212.0,283,68.0,17.0,113.0,142,511,Jim Cleamons
76402,1978-79,00,1610612752,NYK,29.0,79,,2390.0,311,657,0.473,,,,130,171,0.76,65.0,160.0,225.0,376,73.0,11.0,142.0,147,752,Jim Cleamons
76402,1979-80,00,1610612752,NYK,30.0,22,,254.0,30,69,0.435,3.0,8.0,0.375,12,15,0.8,10.0,9.0,19.0,40,13.0,2.0,17.0,13,75,Jim Cleamons
76156,1956-57,00,1610612752,NYK,24.0,6,,40.0,3,11,0.273,,,,2,2,1.0,,,8.0,1,,,,4,8,Gary Bergen
202711,2023-24,00,1610612752,NYK,35.0,29,0.0,557.0,110,256,0.43,47.0,127.0,0.37,36,45,0.8,9.0,49.0,58.0,26,7.0,1.0,38.0,38,303,Bojan Bogdanovic
77106,1967-68,00,1610612752,NYK,22.0,75,,1093.0,182,455,0.4,,,,99,168,0.589,,,338.0,55,,,,212,463,Phil Jackson
77106,1968-69,00,1610612752,NYK,23.0,47,,924.0,126,294,0.429,,,,80,119,0.672,,,246.0,43,,,,168,332,Phil Jackson
77106,1970-71,00,1610612752,NYK,25.0,71,,771.0,118,263,0.449,,,,95,133,0.714,,,238.0,31,,,,169,331,Phil Jackson
77106,1971-72,00,1610612752,NYK,26.0,80,,1273.0,205,466,0.44,,,,167,228,0.732,,,326.0,72,,,,224,577,Phil Jackson
77106,1972-73,00,1610612752,NYK,27.0,80,,1393.0,245,553,0.443,,,,154,195,0.79,,,344.0,94,,,,218,644,Phil Jackson
77106,1973-74,00,1610612752,NYK,28.0,82,,2050.0,361,757,0.477,,,,191,246,0.776,123.0,355.0,478.0,134,42.0,67.0,,277,913,Phil Jackson
77106,1974-75,00,1610612752,NYK,29.0,78,,2285.0,324,712,0.455,,,,193,253,0.763,137.0,463.0,600.0,136,84.0,53.0,,330,841,Phil Jackson
77106,1975-76,00,1610612752,NYK,30.0,80,,1461.0,185,387,0.478,,,,110,150,0.733,80.0,263.0,343.0,105,41.0,20.0,,275,480,Phil Jackson
77106,1976-77,00,1610612752,NYK,31.0,76,,1033.0,102,232,0.44,,,,51,71,0.718,75.0,154.0,229.0,85,33.0,18.0,,184,255,Phil Jackson
77106,1977-78,00,1610612752,NYK,32.0,63,,654.0,55,115,0.478,,,,43,56,0.768,29.0,81.0,110.0,46,31.0,15.0,47.0,106,153,Phil Jackson
2429,2011-12,00,1610612752,NYK,34.0,2,0.0,13.0,0,2,0.0,0.0,0.0,0.0,0,2,0.0,1.0,4.0,5.0,0,1.0,1.0,1.0,4,0,Dan Gadzuric
201947,2013-14,00,1610612752,NYK,26.0,9,0.0,70.0,7,21,0.333,1.0,6.0,0.167,8,10,0.8,2.0,14.0,16.0,2,1.0,6.0,1.0,6,23,Earl Clark
41,1993-94,00,1610612752,NYK,26.0,73,38.0,1402.0,162,288,0.563,0.0,0.0,0.0,50,105,0.476,150.0,194.0,344.0,88,76.0,13.0,89.0,175,374,Anthony Bonner
41,1994-95,00,1610612752,NYK,27.0,58,23.0,1126.0,88,193,0.456,1.0,5.0,0.2,44,67,0.657,113.0,149.0,262.0,80,48.0,23.0,79.0,159,221,Anthony Bonner
349,1987-88,00,1610612752,NYK,23.0,82,80.0,3249.0,438,1013,0.432,32.0,126.0,0.254,206,266,0.774,120.0,276.0,396.0,868,205.0,6.0,258.0,244,1114,Mark Jackson
349,1988-89,00,1610612752,NYK,24.0,72,72.0,2477.0,479,1025,0.467,81.0,240.0,0.338,180,258,0.698,106.0,235.0,341.0,619,139.0,7.0,226.0,163,1219,Mark Jackson
349,1989-90,00,1610612752,NYK,25.0,82,69.0,2428.0,327,749,0.437,35.0,131.0,0.267,120,165,0.727,106.0,212.0,318.0,604,109.0,4.0,211.0,121,809,Mark Jackson
349,1990-91,00,1610612752,NYK,26.0,72,21.0,1595.0,250,508,0.492,13.0,51.0,0.255,117,160,0.731,62.0,135.0,197.0,452,60.0,9.0,135.0,81,630,Mark Jackson
349,1991-92,00,1610612752,NYK,27.0,81,81.0,2461.0,367,747,0.491,11.0,43.0,0.256,171,222,0.77,95.0,210.0,305.0,694,112.0,13.0,211.0,153,916,Mark Jackson
349,2000-01,00,1610612752,NYK,36.0,29,28.0,786.0,74,180,0.411,13.0,42.0,0.31,9,17,0.529,21.0,99.0,120.0,163,21.0,0.0,58.0,56,170,Mark Jackson
349,2001-02,00,1610612752,NYK,37.0,82,82.0,2367.0,260,592,0.439,79.0,195.0,0.405,87,110,0.791,56.0,253.0,309.0,605,74.0,1.0,150.0,162,686,Mark Jackson
101112,2005-06,00,1610612752,NYK,23.0,65,14.0,1572.0,305,640,0.477,3.0,9.0,0.333,189,229,0.825,138.0,236.0,374.0,53,30.0,47.0,97.0,200,802,Channing Frye
101112,2006-07,00,1610612752,NYK,24.0,72,59.0,1899.0,298,689,0.433,3.0,18.0,0.167,85,108,0.787,91.0,304.0,395.0,67,36.0,42.0,100.0,216,684,Channing Frye
57,1994-95,00,1610612752,NYK,25.0,12,0.0,79.0,5,22,0.227,1.0,7.0,0.143,4,5,0.8,3.0,10.0,13.0,8,2.0,1.0,13.0,18,15,Doug Christie
57,1995-96,00,1610612752,NYK,26.0,23,0.0,218.0,35,73,0.479,10.0,19.0,0.526,13,22,0.591,8.0,26.0,34.0,25,12.0,3.0,19.0,41,93,Doug Christie
1886,2009-10,00,1610612752,NYK,29.0,25,1.0,292.0,40,100,0.4,14.0,39.0,0.359,24,26,0.923,15.0,37.0,52.0,16,2.0,17.0,28.0,33,118,Jonathan Bender
76144,1965-66,00,1610612752,NYK,26.0,72,,3084.0,639,1249,0.512,,,,390,622,0.627,,,1152.0,217,,,,262,1668,Walt Bellamy
76144,1966-67,00,1610612752,NYK,27.0,79,,3010.0,565,1084,0.521,,,,369,580,0.636,,,1064.0,206,,,,275,1499,Walt Bellamy
76144,1967-68,00,1610612752,NYK,28.0,82,,2695.0,511,944,0.541,,,,350,529,0.662,,,961.0,164,,,,259,1372,Walt Bellamy
76144,1968-69,00,1610612752,NYK,29.0,35,,1136.0,204,402,0.507,,,,125,202,0.619,,,385.0,77,,,,123,533,Walt Bellamy
1630173,2023-24,00,1610612752,NYK,24.0,49,18.0,1187.0,157,299,0.525,13.0,50.0,0.26,45,70,0.643,141.0,210.0,351.0,53,30.0,56.0,54.0,103,372,Precious Achiuwa
78259,1961-62,00,1610612752,NYK,24.0,32,,440.0,59,162,0.364,,,,23,38,0.605,,,51.0,60,,,,55,141,Sam Stith
76142,1973-74,00,1610612752,NYK,23.0,1,,4.0,0,1,0.0,,,,0,0,,0.0,0.0,0.0,0,0.0,0.0,,0,0,Dennis Bell
76142,1974-75,00,1610612752,NYK,24.0,52,,465.0,68,181,0.376,,,,20,36,0.556,48.0,57.0,105.0,25,22.0,9.0,,54,156,Dennis Bell
76142,1975-76,00,1610612752,NYK,25.0,10,,76.0,8,21,0.381,,,,3,7,0.429,4.0,10.0,14.0,3,6.0,1.0,,11,19,Dennis Bell
1983,2004-05,00,1610612752,NYK,29.0,21,0.0,230.0,17,33,0.515,0.0,2.0,0.0,8,13,0.615,3.0,20.0,23.0,24,7.0,1.0,10.0,26,42,Jermaine Jackson
